Model,BLEU,STA,SIM,FL,J
bart-large,56.5801,0.926,0.8673,0.7628,0.6126
pure-t5-base,57.0646,0.9397,0.8649,0.7506,0.6101
bart-paraphrase,56.3903,0.9209,0.873,0.7552,0.6072
flan-t5-base,57.7975,0.9311,0.8733,0.7425,0.6037
mvp,58.124,0.925,0.8699,0.7451,0.5995
prophetnet-large-uncased,54.4248,0.9285,0.8661,0.7395,0.5947
bart-base,58.2464,0.9088,0.8824,0.7329,0.5877
t5-small,58.2759,0.9113,0.8742,0.7162,0.5705
blenderbot,9.203,0.9488,0.7179,0.6361,0.4333
distilbart,11.9782,0.9052,0.7133,0.3817,0.2464
